,0
1420,2
1421,4
1422,3
1423,3
1424,10
1425,9
1426,11
1427,2
1428,10
1429,11
1430,11
1431,10
1432,4
1433,9
1434,10
1435,2
1436,2
1437,2
1438,5
1439,3
1440,6
1441,6
1442,6
1443,11
1444,4
1445,2
1446,4
1447,11
1448,10
1449,5
1450,9
1451,9
1452,9
1453,6
1454,4
1455,3
1456,4
1457,4
1458,2
1459,2
1460,6
1461,4
1462,5
1463,11
1464,5
1465,6
1466,3
1467,3
1468,6
1469,4
1470,3
1471,6
1472,9
1473,4
1474,4
1475,3
1476,3
1477,3
1478,4
1479,10
1480,11
1481,2
1482,2
1483,2
1484,9
1485,9
1486,9
1487,5
1488,6
1489,6
1490,6
1491,6
1492,4
1493,4
1494,4
1495,6
1496,9
1497,4
1498,3
1499,3
1500,3
1501,11
1502,11
1503,11
1504,2
1505,9
1506,9
1507,9
1508,9
1509,6
1510,6
1511,9
1512,6
1513,2
1514,3
1515,6
1516,4
1517,11
1518,11
1519,7
1520,3
1521,9
1522,6
1523,9
1524,3
1525,6
1526,4
1527,9
1528,2
1529,2
1530,2
1531,8
1532,7
1533,7
1534,11
1535,7
1536,0
1537,0
1538,0
1539,3
1540,3
1541,10
1542,10
1543,0
1544,10
1545,0
1546,9
1547,8
1548,5
1549,8
1550,0
1551,9
1552,7
1553,5
1554,5
1555,3
1556,3
1557,7
1558,7
1559,0
1560,6
1561,0
1562,5
1563,7
1564,3
1565,5
1566,7
1567,7
1568,10
1569,3
1570,10
1571,7
1572,9
1573,8
1574,0
1575,7
1576,9
1577,0
1578,0
1579,9
1580,3
1581,5
1582,1
1583,1
1584,1
1585,1
1586,1
1587,4
1588,7
1589,3
1590,8
1591,3
1592,3
1593,10
1594,3
1595,8
1596,3
1597,9
1598,8
1599,9
1600,8
1601,9
1602,1
1603,9
1604,10
1605,3
1606,3
1607,5
1608,3
1609,3
1610,10
1611,10
1612,9
1613,8
1614,9
1615,8
1616,9
1617,8
1618,10
1619,2
1620,8
